Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Botswana,7915.375,7915.375,7915.375,7915.375,7915.375,7915.375,7915.375,7915.375,7915.375,7915.375,7915.375,7915.375,7915.375,7915.375,7915.375,7915.375,7915.375,7915.375,7915.375,7915.375,7915.375,7915.375,7915.375,7915.375,7915.375,7915.375,7915.375,8828.888888888889,9742.402777777777,10655.916666666666,11569.430555555555,12482.944444444445,13396.458333333334,14309.972222222223,15223.486111111111,16137.0,16244.0,16352.0,17039.458333333332,17726.916666666668,18414.375,17033.3,15652.225,14271.15,12890.075,11509.0,11075.0,11631.5,12188.0,12744.5,13301.0,12270.0,11967.0,12177.0,12501.0,12825.0,12386.0,12609.0,13185.0,15387.5,17590.0,13924.0,13694.0,13694.0
Brazil,444547.5,444547.5,444547.5,444547.5,444547.5,444547.5,444547.5,444547.5,444547.5,444547.5,444547.5,444547.5,444547.5,444547.5,444547.5,444547.5,444547.5,444547.5,626910.25,809273.0,797289.0,787294.0,798425.0,802331.5,806238.0,834927.0,816397.0,444547.5,570844.3333333334,697141.1666666666,823438.0,840648.0,897050.0,912110.0,914811.0,917512.0,920213.0,922914.0,925615.0,928316.0,931017.0,958475.0,977717.0,998725.0,979854.0,1023545.0,1032450.0,1060365.0,1079228.0,1113696.5,1148165.0,1173458.0,1198751.0,1224044.0,1249337.0,1274630.0,1277579.0,1283496.0,1317394.5,1351293.0,1385191.5,1385191.5,1385191.5,1385191.5
British Guiana,5275.0,4861.0,4840.0,5069.0,4900.0,4900.0,4900.0,4900.0,4900.0,4900.0,4900.0,4900.0,4900.0,4900.0,4900.0,4900.0,4900.0,4900.0,4900.0,4900.0,4900.0,4900.0,4900.0,4900.0,4900.0,4900.0,4900.0,4900.0,4900.0,4900.0,4900.0,4900.0,4900.0,4900.0,4900.0,4900.0,4900.0,4900.0,4900.0,4900.0,4900.0,4900.0,4900.0,4900.0,4900.0,4900.0,4900.0,4900.0,4900.0,4900.0,4900.0,4900.0,4900.0,4900.0,4900.0,4900.0,4900.0,4900.0,4900.0,4900.0,4900.0,4900.0,4900.0,4900.0
British Honduras,708.0,853.0,712.0,729.0,752.5,776.0,811.0,584.75,584.75,584.75,584.75,584.75,584.75,584.75,584.75,584.75,584.75,584.75,584.75,584.75,584.75,584.75,584.75,584.75,584.75,584.75,584.75,584.75,584.75,584.75,584.75,584.75,584.75,584.75,584.75,584.75,584.75,584.75,584.75,584.75,584.75,584.75,584.75,584.75,584.75,584.75,584.75,584.75,584.75,584.75,584.75,584.75,584.75,584.75,584.75,584.75,584.75,584.75,584.75,584.75,584.75,584.75,584.75,584.75
British Virgin Islands,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,63.0,62.0,75.0,138.25,201.5,201.5,201.5,135.25,69.0,53.0,67.0,61.0,63.0,65.0,82.0,83.0,59.0,77.0,79.0,81.0,83.0,85.0,87.0,89.0,91.0,93.0,95.0,97.0,99.0,101.0,97.0,104.0,120.0,116.85714285714286,113.71428571428571,110.57142857142857,107.42857142857143,104.28571428571429,101.14285714285714,98.0,122.0,113.0,111.0,136.0,120.0,155.0,159.0,163.0,167.0,171.0,171.0,171.0,171.0
Brunei,606.0,628.0,666.0,621.0,639.0,657.0,656.0,570.0,862.25,831.625,801.0,751.0,701.0,640.0,663.5,687.0,748.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0
Brunei Darussalam,705.0,705.0,705.0,705.0,705.0,705.0,705.0,705.0,705.0,705.0,705.0,705.0,705.0,705.0,705.0,705.0,705.0,705.0,705.0,705.0,705.0,783.0,786.6666666666666,790.3333333333334,794.0,723.0,765.0,777.0,825.2,873.4,921.6,969.8,1018.0,988.6,959.2,929.8,900.4,871.0,899.0,927.0,955.0,983.0,1011.0,1039.0,1067.0,1095.0,1174.0,1091.0,1139.0,1187.0,1235.0,1216.0,1398.0,1470.0,1547.0,1632.0,1696.0,1612.0,1757.0,1811.0,1865.0,2322.0,1912.0,1912.0
Bulgaria,62562.0,69640.0,66057.0,64479.0,66422.5,68366.0,74696.0,72176.0,75719.0,79262.0,82805.0,84174.0,81470.0,85239.0,89959.0,143785.5,143785.5,143785.5,116066.75,88348.0,94362.0,97642.75,100923.5,104204.25,107485.0,104039.0,107213.0,107385.0,108397.66666666667,109410.33333333333,110423.0,107998.0,109540.0,112632.0,112632.0,111043.0,109454.0,107865.0,109053.0,110241.0,111429.0,112617.0,83851.25,55085.5,113374.0,113438.0,113004.0,110523.0,108068.0,106165.0,108258.0,109281.0,104345.0,108952.0,110117.0,107580.0,109791.0,108526.0,108083.0,124735.0,143785.5,118814.0,101006.0,100736.0
Burkina Faso,116199.0,116199.0,116199.0,116199.0,116199.0,116199.0,116199.0,116199.0,116199.0,116199.0,116199.0,116199.0,116199.0,116199.0,116199.0,116199.0,116199.0,116199.0,116199.0,116199.0,116199.0,116199.0,116199.0,116199.0,116199.0,116199.0,116199.0,116199.0,116199.0,116199.0,116199.0,116199.0,116199.0,116199.0,116199.0,116199.0,116199.0,116199.0,116199.0,116199.0,116199.0,116199.0,116199.0,116199.0,116199.0,116199.0,176700.0,174800.0,174800.0,174800.0,174800.0,174800.0,174800.0,174800.0,174800.0,174800.0,174800.0,174800.0,174800.0,174800.0,174800.0,174800.0,174800.0,174800.0
Burma,43536.0,21856.0,36409.0,49822.0,50645.0,50645.0,50645.0,50645.0,50645.0,50645.0,50645.0,50645.0,50645.0,50645.0,50645.0,50645.0,50645.0,50645.0,50645.0,50645.0,50645.0,50645.0,50645.0,50645.0,50645.0,50645.0,50645.0,50645.0,50645.0,50645.0,50645.0,50645.0,50645.0,50645.0,50645.0,50645.0,50645.0,50645.0,50645.0,50645.0,50645.0,50645.0,50645.0,50645.0,50645.0,50645.0,50645.0,50645.0,50645.0,50645.0,50645.0,50645.0,50645.0,50645.0,50645.0,50645.0,50645.0,50645.0,50645.0,50645.0,50645.0,50645.0,50645.0,50645.0
